crossref_date,crossref_by,GET_vsn,Source_ID,data_id_code,band_layer_name,in_class_field_name,in_class_value,in_class_description,in_class_description_detail,0,T1.1,T1.2,T1.3,T1.4,T2.1,T2.2,T2.3,T2.4,T2.5,T2.6,T3.1,T3.2,T3.3,T3.4,T4.1,T4.2,T4.3,T4.4,T4.5,T5.1,T5.2,T5.3,T5.4,T5.5,T6.1,T6.2,T6.3,T6.4,T6.5,T7.1,T7.2,T7.3,T7.4,T7.5,S1.1,S1.2,S2.1,SF1.1,SF1.2,SF2.1,SF2.2,SM1.1,SM1.2,SM1.3,TF1.1,TF1.2,TF1.3,TF1.4,TF1.5,TF1.6,TF1.7,F1.1,F1.2,F1.3,F1.4,F1.5,F1.6,F1.7,F2.1,F2.2,F2.3,F2.4,F2.5,F2.6,F2.7,F2.8,F2.9,F2.10,F3.1,F3.2,F3.3,F3.4,F3.5,FM1.1,FM1.2,FM1.3,M1.1,M1.2,M1.3,M1.4,M1.5,M1.6,M1.7,M1.8,M1.9,M1.10,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M3.4,M3.5,M3.6,M3.7,M4.1,M4.2,MT1.1,MT1.2,MT1.3,MT1.4,MT2.1,MT2.2,MT3.1,MFT1.1,MFT1.2,MFT1.3,NA,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L1.1 Eyðimelavist,Sparsely- or un-vegetated habitats on mineral substrates not resulting from recent ice activity,"Extensive, rather dry, rocky highland plains on flat or sloping land. The surface is mostly sand and pumice, but in some places frost hemlocks are widespread. There is a lot of driftwood and sand drift. The overall vegetation cover is very low. Mosses in crevices and in the shelter of rocks, but scabrous lichens and sedges on rocks.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L1.2 Grasmelavist,Sparsely- or un-vegetated habitats on mineral substrates not resulting from recent ice activity,"Small, loose, sandy, rather dry scree on flat and sloping land. Sand drifts are common in many places. Vegetation is very low, grassy and sparse. Total vegetation cover is very low but variable, mostly vascular plants.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L1.3 Mosamelavist,Oroboreal Carex bigelowii-Racomitrium moss-heaths,"Semi-vegetated, rocky, sloping moors on hillsides, on eroded ridges and ridges; found from lowlands to mountains where precipitation is abundant but snow cover is low. The ecosystem is characterized by a fairly extensive cover of the mosses lava moors and melagambræ and is also the most vegetated moor ecosystem in the country. However, the cover is patchy, alternating with moss beds, moor patches and sedges. There is some vascular plant cover and lichens are quite prominent. Vegetation is generally very low-growing.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L1.4 Víðimelavist,Glacial moraines with very sparse or no vegetation,"Well-vegetated, somewhat rocky, rather dry screes on heaths and in the mountains, especially on land that has begun to grow somewhat. The surface is generally stable and there is little sand drift. Vegetation is very low. The coverage of vascular plants, mosses and organic soil cover is similar, but lichen cover is rather low.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L1.5 Sanda- og vikravist,Volcanic ash and lapilli fields,"Permeable silty and pumice-mixed sands and gravels at the foot of slopes, hills and mountain slopes and in some places on flat land. The surface is very unstable and characterized by uneven silty and pumice sands that are added by weathering. The land is in some places completely rocky in places. The land is sparsely vegetated and mosses dominate. Vegetation is very low.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L3.3 Ljónslappaskriðuvist,Icelandic Achemilla screes,"Steep, very unstable but irregular basalt, tuff and liparite landslides. Total vegetation cover is very low and generally less than in other landslide habitats and in habitats in general. Vegetation is very low, vascular plants are dominant but there is little moss and lichen due to the high movement of the substrate. Vegetation patches and some greenery are mostly found on boulders and solid rocks where there is a break from rock slides.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L3.1 Urðarskriðuvist,Icelandic talus slopes,"Steep, generally stable, very large and rough basalt and liparite landslides and screes. There is some vegetation, mosses at the base, also a little lichen but very little vascular plants. Vegetation is therefore very low-growing. Mossy lava beds characterize most landslides in this category and form wide continuous beds on top of the boulders.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L3.2 Grasvíðiskriðuvist,Icelandic Salix herbacea screes,"Steep, unstable to fairly stable, basalt and tuff landslides. Surface roughness varies greatly, from small boulders to large boulders. Vegetation is very low and the land is sparsely vegetated, with sphagnum mosses dominating.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L4.2 Auravist,Icelandic braided river plains,"Rather dry, gently sloping riverbanks and alluvial plains with glacial channels and tributaries. Surface slightly undulating and shaped by water flow, alternating with well-vegetated channels and bare ridges. Surface rather stable, in some places quite rocky. Land with very low-growing primary vegetation, sphagnum mosses dominant but scattered with vascular plants and lichens.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,
Oct 17 2025,Alli Lynn and Tess Harmer,v2.1,245,iinh_iceland_eco_2024,ni_vg25r_3utg,Vistgerð,L4.1 Eyravist,Unvegetated or sparsely vegetated shores,"Wet to dry riverbeds with glacial and glacial channels and meltwater channels. The surface is slightly sloping and rather smooth but unstable due to the presence and encroachment of water. Vegetation cover is very low and the vegetation is very low-growing. Vegetation is denser where the water recedes and encroachment is less, especially the moss Racomitrium ericoides which forms the greatest cover there.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
